COD_NODO_IRI;LIVELLO;LEMMA_NODO_IT;LEMMA_NODO_EN;COLLEG_MAPPA_CLAIST_SINT;COLLE_CLASS_TITOLI;DEFINIZIONE_IT;DESCRIZIONE_IT;ALT_LAB_IT;DEFINIZIONE_EN;ALT_LAB_EN;NOTE
CPS_33;1;Percorso di istruzione di 2° livello per adulti - istituto tecnico;Second-level education programme for adults (Provincial Centre for Adult Education) - technical institute;322.01;CTS_3_20_10;"Percorso di istruzione omologo nella didattica a quello dell'istituto tecnico (d.p.r. 88/2010) e rivolto principalmente ad adulti e giovani lavoratori in possesso del titolo conclusivo del primo ciclo di istruzione che, per motivi personali o professionali, non possono frequentare la scuola durante il giorno. Si svolge in orario serale e è organizzato in moduli e periodi didattici flessibili, con un monte ore corrispondente al 70% dei corsi diurni e con una durata complessiva tendenzialmente di 3 anni, per adattarsi alle esigenze degli studenti. Prevede il riconoscimento di crediti formativi per competenze già acquisite (formali, non formali e informali). È finalizzato al conseguimento di titoli di studio equivalenti a quelli dei corsi diurni. I destinatari sono: 
- adulti che vogliono completare il proprio percorso scolastico; 
- persone già inserite nel mondo del lavoro che desiderano riqualificarsi;
- studenti che hanno interrotto gli studi e vogliono riprendere o che non posso seguire i corsi diurni; 
- cittadini stranieri in possesso del titolo di studio del primo ciclo.";"Artt. 3 e 4, decreto del Presidente della Repubblica 29 ottobre 2012, n. 263 ""Regolamento recante norme generali per la ridefinizione dell'assetto organizzativo didattico dei Centri d'istruzione per gli adulti, ivi compresi i corsi serali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Decreto del Ministro dell'istruzione, dell'università e della ricerca, di concerto con il Ministro dell'economia e delle finanze 12 marzo 2015 ""Linee guida per il passaggio al nuovo ordinamento a sostegno dell’autonomia organizzativa e didattica dei Centri provinciali per l’istruzione degli adulti"";
Decreto del Presidente della Repubblica 15 marzo 2010, n. 88 “Regolamento recante norme per il riordino degli istituti tecnici a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
CPS_34;1;Percorso di istruzione di 2° livello per adulti - istituto professionale;Second-level education programme for adults (Provincial Centre for Adult Education) -  vocational institute;323.01;CTS_3_20_10;"Percorso di istruzione omologo nella didattica a quello dell'istituto professionale (d.p.r. 87/2010) e rivolto principalmente ad adulti e giovani lavoratori in possesso del titolo conclusivo del primo ciclo di istruzione che, per motivi personali o professionali, non possono frequentare la scuola durante il giorno. Si svolge in orario serale e è organizzato in moduli e periodi didattici flessibili, con un monte ore corrispondente al 70% dei corsi diurni e con una durata complessiva tendenzialmente di 3 anni, per adattarsi alle esigenze degli studenti. Prevede il riconoscimento di crediti formativi per competenze già acquisite (formali, non formali e informali). È finalizzato al conseguimento di titoli di studio equivalenti a quelli dei corsi diurni. I destinatari sono: 
- adulti che vogliono completare il proprio percorso scolastico; 
- persone già inserite nel mondo del lavoro che desiderano riqualificarsi;
- studenti che hanno interrotto gli studi e vogliono riprendere o che non posso seguire i corsi diurni; 
- cittadini stranieri in possesso del titolo di studio del primo ciclo.";"Artt. 3 e 4, decreto del Presidente della Repubblica 29 ottobre 2012, n. 263 ""Regolamento recante norme generali per la ridefinizione dell'assetto organizzativo didattico dei Centri d'istruzione per gli adulti, ivi compresi i corsi serali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Decreto del Ministro dell'istruzione, dell'università e della ricerca, di concerto con il Ministro dell'economia e delle finanze 12 marzo 2015 ""Linee guida per il passaggio al nuovo ordinamento a sostegno dell’autonomia organizzativa e didattica dei Centri provinciali per l’istruzione degli adulti"";
Decreto del Presidente della Repubblica 15 marzo 2010, n. 87 ""Regolamento recante norme per il riordino degli istituti professionali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
CPS_35;1;Corso integrativo post diploma - istituto magistrale;Post-diploma supplementary course - teacher training institute;325.01;CTS_3_20_10;Corso annuale integrativo per diplomati dell’Istituto magistrale quadriennale, a conclusione del secondo ciclo d’istruzione, che completa la formazione quinquennale e permette di conseguire una maturità valida per l’accesso agli studi di ordine superiore. I corsi sono organizzati dai provveditorati agli studi, in ogni provincia, sotto la responsabilità didattica e scientifica delle università, sulla base di disposizioni impartite dal Ministro per la pubblica istruzione.  Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191 co. 6, decreto legislativo n. 297 del 1994 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"";
Art. 1, legge 11 dicembre 1969, n. 910 ""Provvedimenti urgenti per l'Università"".";;;;
CPS_36;1;Corso integrativo post diploma - liceo artistico;Post-diploma supplementary course - art high school;326.01;CTS_3_20_10;Corso annuale integrativo per diplomati del Liceo artistico quadriennale, a conclusione del secondo ciclo d’istruzione, che completa la formazione quinquennale e permette di conseguire una maturità valida per l’accesso agli studi di ordine superiore. I corsi sono organizzati dai provveditorati agli studi, in ogni provincia, sotto la responsabilità didattica e scientifica delle università, sulla base di disposizioni impartite dal Ministro per la pubblica istruzione.  Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191 co. 6, decreto legislativo n. 297 del 1994 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"";
Art. 1, legge 11 dicembre 1969, n. 910 ""Provvedimenti urgenti per l'Università"".";;;;
CPS_37;1;Corso pre-accademico superiore AFAM;Advanced pre-academic AFAM course;324.01;;Percorso formativo non ordinamentale, attivato dalle Istituzioni AFAM (conservatori, accademie di belle arti, istituti superiori di studi musicali e coreutici), accessibile indicativamente tra i 16 e i 19 anni, previo accertamento di requisiti pratico-teorici intermedi, e finalizzato alla preparazione tecnica, teorica e artistica dello studente per l’accesso ai corsi accademici di 1° livello AFAM. Il corso pre-accademico si articola in moduli progressivi e può avere una durata variabile, generalmente compresa nei tre anni, in funzione del livello iniziale dello studente e della disciplina di riferimento. Al termine del percorso, previo superamento delle verifiche finali, viene rilasciata una certificazione di competenza che attesta il raggiungimento degli obiettivi formativi previsti e conferisce la idoneità per l’accesso al triennio accademico di 1° livello AFAM. Il percorso non è più in vigore nel sistema educativo attuale ed è stato sostituito dal corso propedeutico ai percorsi accademici AFAM.;"Art. 7, comma 2, decreto del Presidente della Repubblica 8 luglio 2005, n. 212 ""Regolamento recante disciplina per la definizione degli ordinamenti didattici delle Istituzioni di alta formazione artistica, musicale e coreutica, a norma dell'articolo 2 della legge 21 dicembre 1999, n. 508"";
Decreto del ministro dell'istruzione, dell'università e della ricerca 30 settembre 2009, n. 123 ""Ordinamenti didattici dei corsi di studio per il conseguimento del diploma accademico di primo livello nelle Accademie di Belle Arti"";
Legge 21 dicembre 1999, n. 508 ""Riforma delle Accademie di belle arti, dell'Accademia nazionale di danza, dell'Accademia nazionale di arte drammatica, degli Istituti superiori per le industrie artistiche, dei Conservatori di musica e degli Istituti musicali pareggiati"".";;;;
CPS_38;1;Corso propedeutico ai percorsi accademici AFAM;Preparatory course for AFAM academic programs;327.01;;"Percorso di formazione facoltativo, attivato presso le Istituzioni dell’alta formazione artistica, musicale e coreutica (AFAM), finalizzato alla preparazione degli studenti all’accesso ai corsi accademici di 1° livello AFAM. Tale corso è strutturato per sviluppare le competenze tecniche, teoriche e artistiche necessarie al superamento delle prove di ammissione ai corsi triennali accademici, differenziato in base alla materia scelta. La durata massima del corso è di tre anni, e può essere frequentato da studenti anche minorenni, compatibilmente con la contemporanea frequenza della scuola secondaria di 2° grado; vi si accede senza alcuna richiesta di titolo pregresso, attraverso un esame di ammissione, e si conclude con il rilascio di una certificazione che attesta il percorso svolto, gli obiettivi formativi raggiunti e la durata complessiva.";"Artt. 2-5, decreto del Ministro dell'istruzione dell'università e della ricerca 11 maggio 2018, ""Sull'armonizzazione dei percorsi formativi della filiera artistico-musicale adottato ai sensi dell'articolo 15 del decreto legislativo 13 aprile 2017, n. 60"";
Decreto legislativo 13 aprile 2017, n. 60, ""Norme sulla promozione della cultura umanistica, sulla valorizzazione del patrimonio e delle produzioni culturali e sul sostegno della creatività, a norma dell’articolo 1, commi 180 e 181, lettera g), della legge 13 luglio 2015, n. 107""  (c.d. La buona scuola).";;;;
CPS_39;1;IFTS - Istruzione e formazione tecnica superiore;IFTS - Higher Technical Education and Training;401.01;CTS_4_10_10;I percorsi di Istruzione e formazione tecnica superiore (IFTS) sono corsi post-secondari programmati dalle regioni, istituiti ai sensi dell’art. 69 della legge 144/1999, finalizzati a fornire competenze tecnico-professionali di medio livello, immediatamente spendibili nel mercato del lavoro. Hanno una durata annuale, compresa tra 800 e 1.000 ore, e si articolano in formazione teorica, attività laboratoriale e stage aziendali, con almeno il 30% del monte ore svolto in contesto produttivo, eventualmente anche all'estero. I percorsi sono progettati e realizzati in partenariato tra istituti scolastici, enti di formazione accreditati, università, imprese e centri di ricerca, in coerenza con i fabbisogni professionali del territorio. Possono accedervi esclusivamente coloro che sono in possesso di un diploma di istruzione secondaria di secondo grado o di ammissione al quinto anno di percorsi liceali o di un diploma professionale di tecnico IeFP, e si inseriscono nel contesto della filiera formativa tecnologico-professionale prevista dalla legge 121/2024. In alcuni casi specifici, vi si accede senza il possesso di diploma, in un periodo successivo all'assolvimento dell'obbligo di istruzione. L'accesso è a numero chiuso tramite bando pubblico. Al termine del percorso, previo superamento della verifica finale, viene rilasciato un Certificato di specializzazione tecnica superiore, riconosciuto a livello nazionale e valido anche in ambito europeo e possono essere riconosciuti crediti formativi universitari (CFU).;"Art. 69, co. 1, legge 17 maggio 1999, n. 144 ""Misure in materia di investimenti, delega al Governo per il riordino degli incentivi all' occupazione e della normativa che disciplina l' INAIL, nonché disposizioni per il riordino degli enti previdenziali"";
Legge 8 agosto 2024, n. 121  ""Istituzione della filiera formativa tecnologico-professionale"";
Decreto del Ministro dell'istruzione, dell'università e della ricerca, di concerto con il Ministro del lavoro e delle politiche sociali 7 febbraio 2013 ""Definizione dei percorsi di specializzazione tecnica superiore di cui al Decreto del Capo III del decreto del Presidente del Consiglio dei Ministri 25 gennaio 2008"";
Decreto del Presidente del Consiglio dei ministri del 25 gennaio 2008 ""recante linee guida per la riorganizzazione del Sistema di istruzione e formazione tecnica superiore e la costituzione degli Istituti tecnici superiori” della Legge 17 maggio 1999, n. 144"".";;;;
CPS_40;1;Corso di specializzazione post diploma - Istituto tecnico (enotecnico);Post-diploma specialisation course - technical institute (oenotechnician);402.01;CTS_4_10_20;"Percorso formativo finalizzato al conseguimento della specializzazione di Enotecnico, ai sensi dell’art. 8 del d.p.r. 88/2010.
Tale corso è rivolto agli studenti degli istituti tecnici del settore tecnologico ad indirizzo «Agraria, agroalimentare e agroindustria» e a coloro confluiti in questo indirizzo dagli istituti tecnici agrari. Si sviluppa quale ulteriore annualità successiva al conseguimento del diploma di istruzione tecnica del settore Agricoltura, afferente all'area della viticoltura ed enologia.
Il percorso rappresenta una specializzazione post-diploma che consente di acquisire competenze avanzate nel settore vitivinicolo, integra formazione teorica, attività laboratoriale e stage aziendali, ed è finalizzato a rispondere alle esigenze del comparto produttivo vitivinicolo, anche in vista di un eventuale proseguimento degli studi universitari o dell’accesso all’esame di Stato per l’abilitazione alla professione di perito agrario.";"Disposizioni speciali dell'Allegato B del decreto-legge 7 aprile 2025, n. 45 ""Ulteriori disposizioni urgenti in materia di attuazione delle misure del Piano nazionale di ripresa e resilienza e per l'avvio dell'anno scolastico 2025/2026"";
Art. 8, decreto del Presidente della Repubblica 15 marzo 2010, n. 88 ""Regolamento recante norme per il riordino degli istituti tecnici a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
CPS_41;1;ITS - Istituti Tecnici Superiori;ITS - Higher Technical Institutes;"501.01; 501.02";CTS_5_10_10;"Percorso di istruzione terziaria non universitaria attivato presso gli Istituti Tecnici Superiori (ITS), finalizzato alla formazione di tecnici superiori altamente specializzati nelle seguenti aree tecnologiche strategiche per lo sviluppo economico e produttivo del Paese:
1. efficienza energetica;
2. mobilità sostenibile;
3. nuove tecnologie della vita;
4. nuove tecnologie per il made in Italy;
5. tecnologie innovative per i beni e le attività culturali;
6. tecnologie della informazione e della comunicazione.
I corsi ITS sono progettati e gestiti da Fondazioni ITS, costituite da istituti scolastici, enti di formazione, università, imprese e centri di ricerca, in stretta connessione con i fabbisogni del territorio e del mondo del lavoro. Hanno una durata biennale o triennale e vi si accede con il possesso del diploma di istruzione secondaria superiore, a seguito di prove di accertamento di competenze di base. Prevedono un forte contenuto laboratoriale e applicativo, e includono tirocini curriculari obbligatori (almeno il 30% del monte ore) presso aziende del settore. Al termine del percorso, previo superamento della verifica finale, viene rilasciato il Diploma di Tecnico Superiore relativo all'area e all'ambito prescelto, corrispondente al livello 5 del Quadro europeo delle qualifiche (EQF) per i corsi biennali, e al livello 6 per i corsi triennali, riconosciuto a livello nazionale ed europeo. Il percorso non è più in vigore nel sistema educativo attuale ed è stato sostituito dagli ITS Academy biennali e triennali.";"Artt. 4, 6-8, decreto del Presidente del Consiglio dei Ministri 25 gennaio 2008 “Linee guida per la riorganizzazione del Sistema di istruzione e formazione tecnica superiore e la costituzione degli Istituti tecnici superiori”;
Art. 69, legge 17 maggio 1999, n. 144 ""Misure in materia di investimenti, delega al Governo per il riordino degli incentivi all' occupazione e della normativa che disciplina l' INAIL, nonché disposizioni per il riordino degli enti previdenziali"";
Legge 15 luglio 2022, n. 99 ""Istituzione del Sistema terziario di istruzione tecnologica superiore"";
Decreto del Ministro dell’istruzione, dell’università e della ricerca, di concerto con il Ministro del lavoro e delle politiche sociali 5 febbraio 2013, n. 82 ""concernente la revisione degli ambiti di articolazione dell’area “Tecnologie innovative per i beni e le attività culturali - Turismo” degli Istituti Tecnici Superiori, delle relative figure nazionali di riferimento e dei connessi standard delle competenze tecnico - professionali"";
Decreto del Ministro dell’istruzione, dell’università e della ricerca di concerto con il Ministro del lavoro e delle politiche sociali, adottato 7 settembre 2011, n. 8327 ""recante norme generali concernenti i diplomi degli Istituti Tecnici Superiori (I.T.S.) e relative figure nazionali di riferimento, la verifica e la certificazione delle competenze di cui agli articoli 4, comma 3, e 8, comma 2, del decreto del Presidente del Consiglio dei Ministri 25 gennaio 2008"".";;;;
CPS_42;1;ITS Academy  - Istituti tecnologici superiori (biennali);ITS Academy - Higher Technological Institutes (2 years);502.01;CTS_5_10_20;"Percorso di istruzione terziaria non universitaria, attivato presso gli ITS Academy (Istituti tecnologici superiori) nell’ambito del Sistema terziario di istruzione tecnologica superiore istituito dalla legge 99/2022, finalizzato alla formazione di tecnici superiori altamente qualificati nelle seguenti aree tecnologiche strategiche per lo sviluppo economico e la competitività del sistema produttivo:
1. Energia;
2. Mobilità sostenibile e logistica;
3. Chimica e nuove tecnologie della vita;
4. Sistema Agroalimentare;
5. Sistema Casa e ambiente costruito;
6. Meccatronica;
7. Sistema Moda;
8. Servizi alle imprese e agli enti senza fini di lucro;
9. Tecnologie per i beni e le attività artistiche e culturali e per il turismo;
10. Tecnologia dell’informazione, della comunicazione e dei dati.
Al percorso si accede con il possesso del diploma di istruzione secondaria superiore o con il diploma professionale IeFP di tecnico quadriennale o con il Certificato di specializzazione tecnica superiore IFTS, a seguito di prove di accertamento di competenze di base, e si inserisce nel contesto della filiera formativa tecnologico-professionale prevista dalla legge 121/2024.
Il percorso è progettato e gestito da Fondazioni ITS Academy, costituite da istituti scolastici, enti di formazione, università, imprese e centri di ricerca, e ha una durata biennale per un totale di almeno 1.800 ore, con una forte componente laboratoriale e applicativa e almeno il 35% del monte ore svolto in azienda. Al termine del percorso, previo superamento della verifica finale delle competenze, viene rilasciato il Diploma di specializzazione per le tecnologie applicate, corrispondente al livello 5 del Quadro europeo delle qualifiche (EQF), valido su tutto il territorio nazionale e riconosciuto anche in ambito europeo.";"Art. 5, co. 1 let. a), legge 15 luglio 2022, n. 99 ""Istituzione del Sistema terziario di istruzione tecnologica superiore"";
Legge 8 agosto 2024, n. 121  ""Istituzione della filiera formativa tecnologico-professionale"";
Decreto del Ministro dell'istruzione e del merito 20 ottobre 2023 ""Disposizioni concernenti le aree tecnologiche, le figure professionali nazionali di riferimento dei ITS Academy e gli standard minimi delle competenze tecnologiche e tecnico-professionali"";
Decreto del Presidente del Consiglio dei Ministri 25 gennaio 2008 “Linee guida per la riorganizzazione del Sistema di istruzione e formazione tecnica superiore e la costituzione degli Istituti tecnici superiori”.";;;;
CPS_20;1;Istituto professionale;Vocational institute;"310.01; 310.02; 310.03";CTS_3_20_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. Il percorso si caratterizza per una solida base di istruzione generale e tecnico-professionale, che consente agli studenti di sviluppare, in una dimensione operativa, saperi e competenze necessari per rispondere alle esigenze formative del settore produttivo di riferimento, considerato nella sua dimensione sistemica per un rapido inserimento nel mondo del lavoro e per l'accesso all'università e all'istruzione e formazione tecnica superiore. Tali percorsi di istruzione professionale hanno la durata di cinque anni e permettono di conseguire il titolo di diploma della scuola secondaria superiore quinquennale.;"Art. 2, co. 1 e 5, decreto legislativo 13 aprile 2017, n. 61 ""Revisione dei percorsi dell'istruzione professionale nel rispetto dell'articolo 117 della Costituzione, nonché raccordo con i percorsi dell'istruzione e formazione professionale, a norma dell'articolo 1, commi 180 e 181, lettera d), della legge 13 luglio 2015, n. 107"" (c.d. La buona scuola);
Art. 2, decreto del Presidente della Repubblica 15 marzo 2010, n. 87 ""Regolamento recante norme per il riordino degli istituti professionali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Art. 191 del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_21;1;Istituto d'arte;Art institute;311.01;CTS_3_20_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione, attivato presso gli Istituti d’Arte statali o paritari, rivolto agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione (licenza media). Gli Istituti d’Arte hanno come finalità principale l’addestramento al lavoro e alla produzione artistica, a seconda delle tradizioni, delle industrie e delle materie proprie del luogo. Il percorso si articola in un triennio iniziale, al termine del quale si consegue la Licenza di Maestro d’Arte, seguito da un biennio di perfezionamento, che completa il ciclo quinquennale. Lo studente idoneo può accedere all’esame di Stato conclusivo, finalizzato al conseguimento del Diploma di Maturità d’Arte Applicata, titolo equiparato ai diplomi di istruzione secondaria superiore. Il percorso, confluito nei licei a seguito del Regolamento emanato con d.p.r. 89/2010, non è più in vigore nel sistema educativo attuale.;"Art. 13, co. 2, decreto del Presidente della Repubblica 15 marzo 2010, n. 89 ""Regolamento recante revisione dell'assetto ordinamentale, organizzativo e didattico dei licei a norma dell'articolo 64, comma 4, del decreto‐legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Art. 191 del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_22;1;Istituto magistrale quadriennale;Four-year teacher training institute;312.01;CTS_3_20_10;Percorso di studio del secondo ciclo del sistema educativo di istruzione e formazione accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. Fino all'attuazione dell'articolo 3 della legge 19 novembre 1990, n. 341, concernente la riforma degli ordinamenti didattici universitari, l'istituto magistrale conserva, quale fine precipuo, quello di preparare i docenti della scuola elementare. L'istituto magistrale ha la durata di quattro anni. Il diploma degli istituti magistrali, a differenza del titolo di abilitazione all'insegnamento della scuola materna, dà accesso diretto alla Facoltà di magistero, ma non ad altri corsi di laurea, per l'accesso ai quali è necessario un corso integrativo annuale. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191 del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"";
Legge 11 dicembre 1969, n. 910, ""Provvedimenti urgenti per l'Università"".";;;;
CPS_23;1;Istituto magistrale quinquennale;Five-year teacher training institute;313.01;CTS_3_20_10;Percorso di studio di cinque anni del secondo ciclo del sistema educativo di istruzione e formazione, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. Fino all'attuazione dell'articolo 3 della legge 19 novembre 1990, n. 341, concernente la riforma degli ordinamenti didattici universitari, l'istituto magistrale conserva, quale fine precipuo, quello di preparare i docenti della scuola elementare. Gli istituti magistrali quinquennali hanno carattere sperimentale e consentono l'iscrizione dei diplomati a corsi di laurea anche diversi dalla Facoltà di magistero. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191, co. 6 del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_24;1;Liceo quadriennale;Four-year high school;"314.01; 314.02";CTS_3_20_10;"Percorso che comprende due distinti corsi di studio del secondo ciclo del sistema educativo di istruzione e formazione accessibili agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione:

1) Liceo artistico quadriennale: percorso orientato alla formazione artistica di base, attraverso discipline pittoriche, plastiche e grafiche, distinguendosi dagli Istituti d'Arte per un approccio maggiormente teorico, indipendente dalle sue applicazioni all'industria. Il liceo artistico si articola in due sezioni: la prima ha lo scopo di avviare allo studio della pittura, scultura, decorazione e scenografia; la seconda quello di avviare allo studio dell'architettura; le due sezioni hanno comune il primo biennio. I diplomati della prima sezione hanno accesso diretto all'Accademia di belle arti, quelli della seconda alla Facoltà di architettura, ma non ad altri corsi di laurea, per l'accesso ai quali è necessario un corso annuale integrativo. Il percorso non è più in vigore nel sistema educativo attuale, cessato per effetto del d.p.r. 89/2010.

2) Liceo quadriennale: percorso attivato in via sperimentale, ai sensi dell’art. 1, comma 6 del d.m. 567/2017, che consente di conseguire il diploma liceale in quattro anni anziché cinque. Il liceo quadriennale è equiparato per ordinamento, contenuti e valore legale ai percorsi liceali quinquennali, e si caratterizza per una rimodulazione del curricolo, una didattica innovativa e l’adozione di metodologie digitali e interdisciplinari, nel rispetto delle competenze previste dal Profilo educativo, culturale e professionale (PECUP) dei licei.";"Per il percorso di studio ""liceo artistico quadriennale"":
Art. 191, co. 4-6  del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"";
Decreto del Presidente della Repubblica 15 marzo 2010, n. 89 ""Regolamento recante revisione dell'assetto ordinamentale, organizzativo e didattico dei licei a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).

Per il percorso di studio ""liceo quadriennale (sperimentale)"":
Art. 1, co. 2 e 6, decreto del Ministro dell'istruzione, dell'università e della ricerca 3 agosto 2017, n. 567 ""Piano nazionale di innovazione ordinamentale per la sperimentazione di percorsi quadriennali di istruzione secondaria di secondo grado"";
Decreto del Presidente della Repubblica 15 marzo 2010, n. 89 ""Regolamento recante revisione dell'assetto ordinamentale, organizzativo e didattico dei licei a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
CPS_25;1;Istituto tecnico quadriennale;Four-year technical institute;"315.01; 315.02; 315;03";CTS_3_20_10;Percorso di istruzione secondaria di secondo grado attivato in via sperimentale, ai sensi dell’art. 1, comma 6 del d.m. 567/2017, poi inserito nell’ambito del progetto nazionale di istituzione della filiera formativa tecnologico-professionale di cui al d.m. 240/2023, a cui si accede con il possesso del titolo conclusivo del primo ciclo d’istruzione, che consente di conseguire il diploma di istruzione tecnica in quattro anni anziché cinque. Il percorso quadriennale è equiparato per ordinamento, contenuti e valore legale ai corsi quinquennali degli istituti tecnici, e si caratterizza per una rimodulazione del curricolo, l’adozione di metodologie didattiche innovative, l’uso intensivo delle tecnologie digitali e una maggiore integrazione con il mondo del lavoro e della formazione terziaria.;"Art. 2, co. 1 e 7, decreto del Ministro dell'istruzione e del merito 7 dicembre 2023, n. 240 ""concernente il progetto nazionale di sperimentazione relativo all’istituzione della filiera formativa tecnologico-professionale"";
Art. 1, co. 2 e 6, decreto del Ministro dell'istruzione, dell'università e della ricerca 3 agosto 2017, n. 567 ""Piano nazionale di innovazione ordinamentale per la sperimentazione di percorsi quadriennali di istruzione secondaria di secondo grado"";
Legge 8 agosto 2024, n. 121  ""Istituzione della filiera formativa tecnologico-professionale"";
Decreto del Ministero dell'istruzione e del merito n. 29 del 19 febbraio 2026 “concernente l'attuazione degli articoli 26 e 26 bis del decreto-legge 23 settembre 2022, n. 144, recante la revisione dell'assetto ordinamentale degli istituti tecnici e la definizione degli indirizzi, delle articolazioni, dei corrispondenti quadri orari e dei risultati di apprendimento in esito ai relativi percorsi, registrato alla Corte dei Conti il 06/03/2026 al n. 372”;
Decreto del Ministro dell'istruzione  3 dicembre 2021, n. 344  ""concernente l’ampliamento e l’adeguamento della sperimentazione di percorsi quadriennali di istruzione secondaria di secondo grado"".";;;;
CPS_26;1;Istituto professionale quadriennale;Four-year vocational institute;"316.01; 316.02";CTS_3_20_10;Percorso di istruzione secondaria di secondo grado attivato inizialmente in via sperimentale, ai sensi dell’art. 2 comma 1, del d.m. 344/2021, poi inserito nell’ambito del progetto nazionale di istituzione della filiera formativa tecnologico-professionale di cui al d.m. 240/2023, a cui si accede con il possesso del titolo conclusivo del primo ciclo d’istruzione. Il percorso quadriennale è equiparato per ordinamento, contenuti e valore legale al corso quinquennale degli istituti professionali, e si caratterizza per una rimodulazione del curricolo, una didattica innovativa, l’integrazione con il sistema della formazione terziaria tecnologica e una forte connessione con il mondo produttivo.;"Art. 2, co. 1 e 7, decreto del Ministro dell'istruzione e del merito 7 dicembre 2023, n. 240 ""concernente il progetto nazionale di sperimentazione relativo all’istituzione della filiera formativa tecnologico-professionale"";
Legge 8 agosto 2024, n. 121  ""Istituzione della filiera formativa tecnologico-professionale"";
Decreto del Ministro dell'istruzione  3 dicembre 2021, n. 344  ""concernente l’ampliamento e l’adeguamento della sperimentazione di percorsi quadriennali di istruzione secondaria di secondo grado"";
Decreto del Ministro dell'istruzione, dell'università e della ricerca 24 maggio 2018, n. 92 24 ""Regolamento recante la disciplina dei profili di uscita degli indirizzi di studio dei percorsi di istruzione professionale, ai sensi dell'articolo 3, comma 3, del decreto legislativo 13 aprile 2017, n. 61, recante la revisione dei percorsi dell'istruzione professionale nel rispetto dell'articolo 117 della Costituzione, nonché raccordo con i percorsi dell'istruzione e formazione professionale, a norma dell'articolo 1, commi 180 e 181, lettera d), della legge 13 luglio 2015, n. 107"" (c.d. La buona scuola);
Decreto legislativo 13 aprile 2017, n. 61 ""Revisione dei percorsi dell'istruzione professionale nel rispetto dell'articolo 117 della Costituzione, nonché raccordo con i percorsi dell'istruzione e formazione professionale, a norma dell'articolo 1, commi 180 e 181, lettera d), della legge 13 luglio 2015, n. 107"" (c.d. La buona scuola).";;;;
