CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
26.70.3;Fabbricazione di apparecchiature fotografiche;Manufacture of photographic equipment;Herstellung von fotografischen Geräten
26.70.30;Fabbricazione di apparecchiature fotografiche;Manufacture of photographic equipment;Herstellung von fotografischen Geräten
27;Fabbricazione di apparecchiature elettriche;Manufacture of electrical equipment;Herstellung von elektrischen Ausrüstungen
27.1;Fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità;Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;Herstellung von Elektromotoren, Generatoren, Transformatoren, Elektrizitätsverteilungs- und -schalteinrichtungen
27.11;Fabbricazione di motori, generatori e trasformatori elettrici;Manufacture of electric motors, generators and transformers;Herstellung von Elektromotoren, Generatoren und Transformatoren
27.11.0;Fabbricazione di motori, generatori e trasformatori elettrici;Manufacture of electric motors, generators and transformers;Herstellung von Elektromotoren, Generatoren und Transformatoren
27.11.00;Fabbricazione di motori, generatori e trasformatori elettrici;Manufacture of electric motors, generators and transformers;Herstellung von Elektromotoren, Generatoren und Transformatoren
27.12;Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità;Manufacture of electricity distribution and control apparatus;Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen
27.12.0;Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità;Manufacture of electricity distribution and control apparatus;Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen
27.12.00;Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità;Manufacture of electricity distribution and control apparatus;Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen
27.2;Fabbricazione di batterie e accumulatori;Manufacture of batteries and accumulators;Herstellung von Batterien und Akkumulatoren
27.20;Fabbricazione di batterie e accumulatori;Manufacture of batteries and accumulators;Herstellung von Batterien und Akkumulatoren
27.20.0;Fabbricazione di batterie e accumulatori;Manufacture of batteries and accumulators;Herstellung von Batterien und Akkumulatoren
27.20.00;Fabbricazione di batterie e accumulatori;Manufacture of batteries and accumulators;Herstellung von Batterien und Akkumulatoren
27.3;Fabbricazione di cablaggi e attrezzature per cablaggio;Manufacture of wiring and wiring devices;Herstellung von Kabeln und elektrischem Installationsmaterial
27.31;Fabbricazione di cavi in fibra ottica;Manufacture of fibre optic cables;Herstellung von Glasfaserkabeln
27.31.0;Fabbricazione di cavi in fibra ottica;Manufacture of fibre optic cables;Herstellung von Glasfaserkabeln
27.31.00;Fabbricazione di cavi in fibra ottica;Manufacture of fibre optic cables;Herstellung von Glasfaserkabeln
27.32;Fabbricazione di altri fili e cavi elettronici ed elettrici;Manufacture of other electronic and electric wires and cables;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln
27.32.0;Fabbricazione di altri fili e cavi elettronici ed elettrici;Manufacture of other electronic and electric wires and cables;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln
27.32.00;Fabbricazione di altri fili e cavi elettronici ed elettrici;Manufacture of other electronic and electric wires and cables;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln
27.33;Fabbricazione di attrezzature per cablaggio;Manufacture of wiring devices;Herstellung von elektrischem Installationsmaterial
27.33.0;Fabbricazione di attrezzature per cablaggio;Manufacture of wiring devices;Herstellung von elektrischem Installationsmaterial
27.33.00;Fabbricazione di attrezzature per cablaggio;Manufacture of wiring devices;Herstellung von elektrischem Installationsmaterial
27.4;Fabbricazione di apparecchiature per l'illuminazione;Manufacture of lighting equipment;Herstellung von Lampen und Leuchten
27.40;Fabbricazione di apparecchiature per l'illuminazione;Manufacture of lighting equipment;Herstellung von Lampen und Leuchten
27.40.0;Fabbricazione di apparecchiature per l'illuminazione;Manufacture of lighting equipment;Herstellung von Lampen und Leuchten
27.40.01;Fabbricazione di apparecchiature per l'illuminazione per mezzi di trasporto;Manufacture of lighting equipment for transportation equipment;Herstellung von Lampen und Leuchten für Verkehrsmittel
27.40.02;Fabbricazione di luminarie per feste;Manufacture of festive illuminations;Herstellung von Festbeleuchtungen
27.40.09;Fabbricazione di altre apparecchiature per l'illuminazione;Manufacture of other lighting equipment;Herstellung von sonstigen Lampen und Leuchten
27.5;Fabbricazione di apparecchi per uso domestico;Manufacture of domestic appliances;Herstellung von Haushaltsgeräten
27.51;Fabbricazione di elettrodomestici;Manufacture of electric domestic appliances;Herstellung von elektrischen Haushaltsgeräten
27.51.0;Fabbricazione di elettrodomestici;Manufacture of electric domestic appliances;Herstellung von elektrischen Haushaltsgeräten
27.51.00;Fabbricazione di elettrodomestici;Manufacture of electric domestic appliances;Herstellung von elektrischen Haushaltsgeräten
27.52;Fabbricazione di apparecchi non elettrici per uso domestico;Manufacture of non-electric domestic appliances;Herstellung von nichtelektrischen Haushaltsgeräten
27.52.0;Fabbricazione di apparecchi non elettrici per uso domestico;Manufacture of non-electric domestic appliances;Herstellung von nichtelektrischen Haushaltsgeräten
27.52.00;Fabbricazione di apparecchi non elettrici per uso domestico;Manufacture of non-electric domestic appliances;Herstellung von nichtelektrischen Haushaltsgeräten
27.9;Fabbricazione di altre apparecchiature elettriche;Manufacture of other electrical equipment;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten
27.90;Fabbricazione di altre apparecchiature elettriche;Manufacture of other electrical equipment;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten
27.90.0;Fabbricazione di altre apparecchiature elettriche;Manufacture of other electrical equipment;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten
27.90.01;Fabbricazione di apparecchiature elettriche per saldatura e brasatura;Manufacture of electrical welding and soldering equipment;Herstellung von elektrischen Geräten zum Schweißen und Löten
27.90.02;Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione;Manufacture of electrical signs and electrical signalling equipment;Herstellung von elektrischen Schildern und elektrischen Signalgeräten
27.90.03;Fabbricazione di capacitori, resistenze, condensatori elettrici e simili;Manufacture of electrical capacitors, resistors, condensers and similar components;Herstellung von elektrischen Kondensatoren, Widerständen u. Ä.
27.90.04;Fabbricazione di apparecchiature elettriche per parrucchieri, solarium e centri estetici;Manufacture of electrical equipment for hairdressers, solariums and beauty centres;Herstellung von elektrischen Ausrüstungen und Geräten für Frisörsalons, Bräunungsstudios und Schönheitszentren
27.90.09;Fabbricazione di altre apparecchiature elettriche n.c.a.;Manufacture of other electrical equipment n.e.c.;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.
28;Fabbricazione di macchinari e apparecchiature n.c.a.;Manufacture of machinery and equipment n.e.c.;Maschinenbau a. n. g.
28.1;Fabbricazione di macchine di impiego generale;Manufacture of general-purpose machinery;Herstellung von nicht wirtschaftszweigspezifischen Maschinen
28.11;Fabbricazione di motori e turbine, esclusi i motori per aeromobili, veicoli e motocicli;Manufacture of engines and turbines, except aircraft, vehicle and cycle engines;Herstellung von Verbrennungsmotoren und Turbinen, ohne Motoren für Luft- und Straßenfahrzeuge
28.11.1;Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli;Manufacture of engines, except aircraft, vehicle and cycle engines;Herstellung von Verbrennungsmotoren, ohne Motoren für Luft- und Straßenfahrzeuge
28.11.10;Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli;Manufacture of engines, except aircraft, vehicle and cycle engines;Herstellung von Verbrennungsmotoren, ohne Motoren für Luft- und Straßenfahrzeuge
28.11.2;Fabbricazione di turbine;Manufacture of turbines;Herstellung von Turbinen
28.11.20;Fabbricazione di turbine;Manufacture of turbines;Herstellung von Turbinen
28.12;Fabbricazione di apparecchiature fluidodinamiche;Manufacture of fluid power equipment;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen
28.12.0;Fabbricazione di apparecchiature fluidodinamiche;Manufacture of fluid power equipment;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen
28.12.00;Fabbricazione di apparecchiature fluidodinamiche;Manufacture of fluid power equipment;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen
28.13;Fabbricazione di altre pompe e compressori;Manufacture of other pumps and compressors;Herstellung von sonstigen Pumpen und Kompressoren
28.13.0;Fabbricazione di altre pompe e compressori;Manufacture of other pumps and compressors;Herstellung von sonstigen Pumpen und Kompressoren
28.13.00;Fabbricazione di altre pompe e compressori;Manufacture of other pumps and compressors;Herstellung von sonstigen Pumpen und Kompressoren
28.14;Fabbricazione di altri rubinetti e valvole;Manufacture of other taps and valves;Herstellung von sonstigen Armaturen
28.14.0;Fabbricazione di altri rubinetti e valvole;Manufacture of other taps and valves;Herstellung von sonstigen Armaturen
28.14.00;Fabbricazione di altri rubinetti e valvole;Manufacture of other taps and valves;Herstellung von sonstigen Armaturen
28.15;Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione;Manufacture of bearings, gears, gearing and driving elements;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen
28.15.0;Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione;Manufacture of bearings, gears, gearing and driving elements;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen
28.15.00;Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione;Manufacture of bearings, gears, gearing and driving elements;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen
28.2;Fabbricazione di altre macchine di impiego generale;Manufacture of other general-purpose machinery;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen
28.21;Fabbricazione di forni, caldaie e apparecchiature fisse per il riscaldamento domestico;Manufacture of ovens, furnaces and permanent household heating equipment;Herstellung von Öfen, Brennern und ortsfesten Heizgeräten für den Haushalt
28.21.1;Fabbricazione di forni;Manufacture of ovens and furnaces;Herstellung von Öfen
28.21.10;Fabbricazione di forni;Manufacture of ovens and furnaces;Herstellung von Öfen
28.21.2;Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico;Manufacture of permanent household heating equipment;Herstellung von Brennern und ortsfesten Heizgeräten für den Haushalt
28.21.20;Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico;Manufacture of permanent household heating equipment;Herstellung von Brennern und ortsfesten Heizgeräten für den Haushalt
28.22;Fabbricazione di apparecchi di sollevamento e movimentazione;Manufacture of lifting and handling equipment;Herstellung von Hebezeugen und Fördermitteln
28.22.0;Fabbricazione di apparecchi di sollevamento e movimentazione;Manufacture of lifting and handling equipment;Herstellung von Hebezeugen und Fördermitteln
28.22.01;Fabbricazione di ascensori, scale mobili e tappeti mobili;Manufacture of lifts, escalators and moving walkways;Herstellung von Aufzügen, Rolltreppen und Fahrsteigen
28.22.09;Fabbricazione di altri apparecchi di sollevamento e movimentazione;Manufacture of other lifting and handling equipment;Herstellung von sonstigen Hebezeugen und Fördermitteln
28.23;Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche;Manufacture of office machinery and equipment, except computers and peripheral equipment;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte
28.23.0;Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche;Manufacture of office machinery and equipment, except computers and peripheral equipment;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte
28.23.00;Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche;Manufacture of office machinery and equipment, except computers and peripheral equipment;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte
28.24;Fabbricazione di utensili portatili a motore;Manufacture of power-driven hand tools;Herstellung von handgeführten Werkzeugen mit Motorantrieb
28.24.0;Fabbricazione di utensili portatili a motore;Manufacture of power-driven hand tools;Herstellung von handgeführten Werkzeugen mit Motorantrieb
28.24.00;Fabbricazione di utensili portatili a motore;Manufacture of power-driven hand tools;Herstellung von handgeführten Werkzeugen mit Motorantrieb
28.25;Fabbricazione di apparecchiature di climatizzazione per uso non domestico;Manufacture of non-domestic air conditioning equipment;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt
28.25.0;Fabbricazione di apparecchiature di climatizzazione per uso non domestico;Manufacture of non-domestic air conditioning equipment;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt
28.25.00;Fabbricazione di apparecchiature di climatizzazione per uso non domestico;Manufacture of non-domestic air conditioning equipment;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt
28.29;Fabbricazione di altre macchine di impiego generale n.c.a.;Manufacture of other general-purpose machinery n.e.c.;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
28.29.1;Fabbricazione di bilance e distributori automatici;Manufacture of weighing machinery and automatic goods vending machines;Herstellung von Waagen und Warenverkaufsautomaten
28.29.10;Fabbricazione di bilance e distributori automatici;Manufacture of weighing machinery and automatic goods vending machines;Herstellung von Waagen und Warenverkaufsautomaten
28.29.2;Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche;Manufacture of distilling or rectifying plant for petroleum refineries and chemical industries;Herstellung von Destillations- oder Rektifikationsanlagen für Erdölraffinerien und Chemieindustrie
28.29.20;Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche;Manufacture of distilling or rectifying plant for petroleum refineries and chemical industries;Herstellung von Destillations- oder Rektifikationsanlagen für Erdölraffinerien und Chemieindustrie
28.29.3;Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio;Manufacture of packing and wrapping machinery;Herstellung von Maschinen für die Dosierung, Konfektionierung und Verpackung
28.29.30;Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio;Manufacture of packing and wrapping machinery;Herstellung von Maschinen für die Dosierung, Konfektionierung und Verpackung
28.29.4;Fabbricazione di macchine per la pulizia per uso non domestico;Manufacture of cleaning machines for non-domestic use;Herstellung von Maschinen für die Reinigung, nicht für den Haushalt
28.29.41;Fabbricazione di macchine per la pulizia di pavimenti, superfici e ambienti per uso non domestico;Manufacture of cleaning machines for cleaning floors, surfaces and rooms for non-domestic use;Herstellung von Maschinen für die Reinigung von Böden, Flächen und Räumlichkeiten, nicht für den Haushalt
28.29.49;Fabbricazione di altre macchine per la pulizia per uso non domestico;Manufacture of other cleaning machines for non-domestic use;Herstellung von anderen Maschinen für die Reinigung, nicht für den Haushalt
28.29.9;Fabbricazione di altre macchine varie di impiego generale;Manufacture of other various general-purpose machinery;Herstellung von allen anderen nicht wirtschaftszweigspezifischen Maschinen
28.29.91;Fabbricazione di apparecchi per depurare e filtrare liquidi;Manufacture of filtering or purifying machinery and apparatus for liquids;Herstellung von Geräten zum Reinigen und Filtern von Flüssigkeiten
28.29.92;Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica;Manufacture of levels, tape measures and similar hand tools, machinists' precision tools;Herstellung von Wasserwaagen, Messbändern und ähnlichen Werkzeugen, Präzisionsinstrumenten für die Mechanik
28.29.99;Fabbricazione di altre macchine varie di impiego generale n.c.a.;Manufacture of other various general-purpose machinery n.e.c.;Herstellung von allen anderen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
28.3;Fabbricazione di macchine per l'agricoltura e la silvicoltura;Manufacture of agricultural and forestry machinery;Herstellung von land- und forstwirtschaftlichen Maschinen
28.30;Fabbricazione di macchine per l'agricoltura e la silvicoltura;Manufacture of agricultural and forestry machinery;Herstellung von land- und forstwirtschaftlichen Maschinen
28.30.1;Fabbricazione di trattori per l'agricoltura e la silvicoltura;Manufacture of agriculture and forestry tractors;Herstellung von land- und forstwirtschaftlichen Zugmaschinen
28.30.10;Fabbricazione di trattori per l'agricoltura e la silvicoltura;Manufacture of agriculture and forestry tractors;Herstellung von land- und forstwirtschaftlichen Zugmaschinen
28.30.9;Fabbricazione di altre macchine per l'agricoltura e la silvicoltura;Manufacture of other agricultural and forestry machinery;Herstellung von sonstigen land- und forstwirtschaftlichen Maschinen
28.30.91;Fabbricazione di macchine per il giardinaggio e la cura del verde;Manufacture of gardening and landscaping machinery;Herstellung von Maschinen für den Gartenbau und die Grünpflege
28.30.99;Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.;Manufacture of other agricultural and forestry machinery n.e.c.;Herstellung von sonstigen land- und forstwirtschaftlichen Maschinen a. n. g.
28.4;Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili;Manufacture of metal forming machinery and machine tools;Herstellung von Werkzeugmaschinen
28.41;Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli;Manufacture of metal forming machinery and machine tools for metal work;Herstellung von Werkzeugmaschinen für die Metallbearbeitung
28.41.0;Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli;Manufacture of metal forming machinery and machine tools for metal work;Herstellung von Werkzeugmaschinen für die Metallbearbeitung
28.41.00;Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli;Manufacture of metal forming machinery and machine tools for metal work;Herstellung von Werkzeugmaschinen für die Metallbearbeitung
28.42;Fabbricazione di altre macchine utensili;Manufacture of other machine tools;Herstellung von sonstigen Werkzeugmaschinen
28.42.0;Fabbricazione di altre macchine utensili;Manufacture of other machine tools;Herstellung von sonstigen Werkzeugmaschinen
28.42.00;Fabbricazione di altre macchine utensili;Manufacture of other machine tools;Herstellung von sonstigen Werkzeugmaschinen
28.9;Fabbricazione di altre macchine per impieghi speciali;Manufacture of other special-purpose machinery;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige
28.91;Fabbricazione di macchine per la metallurgia;Manufacture of machinery for metallurgy;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen
28.91.0;Fabbricazione di macchine per la metallurgia;Manufacture of machinery for metallurgy;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen
28.91.00;Fabbricazione di macchine per la metallurgia;Manufacture of machinery for metallurgy;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen
28.92;Fabbricazione di macchine da miniera, cava e cantiere;Manufacture of machinery for mining, quarrying and construction;Herstellung von Bergwerks-, Bau- und Baustoffmaschinen
28.92.0;Fabbricazione di macchine da miniera, cava e cantiere;Manufacture of machinery for mining, quarrying and construction;Herstellung von Bergwerks-, Bau- und Baustoffmaschinen
28.92.00;Fabbricazione di macchine da miniera, cava e cantiere;Manufacture of machinery for mining, quarrying and construction;Herstellung von Bergwerks-, Bau- und Baustoffmaschinen
28.93;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco;Manufacture of machinery for food, beverage and tobacco processing;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung
28.93.0;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco;Manufacture of machinery for food, beverage and tobacco processing;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung
28.93.00;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco;Manufacture of machinery for food, beverage and tobacco processing;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung
28.94;Fabbricazione di macchine per l'industria tessile, dell'abbigliamento e del cuoio;Manufacture of machinery for textile, apparel and leather production;Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung
28.94.1;Fabbricazione di macchine tessili;Manufacture of textile machinery;Herstellung von Textilmaschinen
28.94.10;Fabbricazione di macchine tessili;Manufacture of textile machinery;Herstellung von Textilmaschinen
28.94.2;Fabbricazione di macchine per la lavorazione delle pelli e del cuoio;Manufacture of leather machinery;Herstellung von Maschinen und Geräten für die Fell- und Lederverarbeitung
28.94.20;Fabbricazione di macchine per la lavorazione delle pelli e del cuoio;Manufacture of leather machinery;Herstellung von Maschinen und Geräten für die Fell- und Lederverarbeitung
28.94.3;Fabbricazione di macchine per lavanderie e stirerie;Manufacture of laundry machinery;Herstellung von Maschinen für Wäschereien und Büglereien
28.94.30;Fabbricazione di macchine per lavanderie e stirerie;Manufacture of laundry machinery;Herstellung von Maschinen für Wäschereien und Büglereien
28.95;Fabbricazione di macchine per l'industria della carta e del cartone;Manufacture of machinery for paper and paperboard production;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung
28.95.0;Fabbricazione di macchine per l'industria della carta e del cartone;Manufacture of machinery for paper and paperboard production;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung
28.95.00;Fabbricazione di macchine per l'industria della carta e del cartone;Manufacture of machinery for paper and paperboard production;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung
28.96;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma;Manufacture of plastics and rubber machinery;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk
28.96.0;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma;Manufacture of plastics and rubber machinery;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk
28.96.00;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma;Manufacture of plastics and rubber machinery;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk
28.97;Fabbricazione di macchine per la produzione additiva;Manufacture of additive manufacturing machinery;Herstellung von Maschinen für die additive Fertigung
28.97.0;Fabbricazione di macchine per la produzione additiva;Manufacture of additive manufacturing machinery;Herstellung von Maschinen für die additive Fertigung
28.97.01;Fabbricazione di macchine per la produzione additiva per deposizione di materiali metallici;Manufacture of additive manufacturing machinery by metal deposit;Herstellung von Maschinen für die additive Fertigung für die Metallabscheidung
28.97.02;Fabbricazione di macchine per la produzione additiva per deposizione di materie plastiche o di gomma;Manufacture of additive manufacturing machinery by plastics or rubber deposit;Herstellung von Maschinen für die additive Fertigung für die Kunststoff- oder Gummiabscheidung
28.97.09;Fabbricazione di macchine per la produzione additiva n.c.a.;Manufacture of additive manufacturing machinery n.e.c.;Herstellung von Maschinen für die additive Fertigung a. n. g.
28.99;Fabbricazione di altre macchine per impieghi speciali n.c.a.;Manufacture of other special-purpose machinery n.e.c.;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.
28.99.1;Fabbricazione di macchine per la stampa e la legatoria;Manufacture of printing and bookbinding machines;Herstellung von Maschinen für Drucktätigkeiten und Binden von Druckerzeugnissen
28.99.10;Fabbricazione di macchine per la stampa e la legatoria;Manufacture of printing and bookbinding machines;Herstellung von Maschinen für Drucktätigkeiten und Binden von Druckerzeugnissen
28.99.2;Fabbricazione di robot industriali con compiti multipli per scopi speciali;Manufacture of industrial robots for multiple uses;Herstellung von Mehrzweck-Industrierobotern für besondere Verwendungszwecke
28.99.20;Fabbricazione di robot industriali con compiti multipli per scopi speciali;Manufacture of industrial robots for multiple uses;Herstellung von Mehrzweck-Industrierobotern für besondere Verwendungszwecke
28.99.9;Fabbricazione di altre macchine varie per impieghi speciali n.c.a.;Manufacture of other various special-purpose machinery n.e.c.;Herstellung von anderen Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.
28.99.91;Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e relative attrezzature;Manufacture of aircraft launching gear, aircraft carrier catapults and related equipment;Herstellung von Vorrichtungen für den Start von Luftfahrzeugen, Katapulten für Flugzeugträger und entsprechenden Ausrüstungen
28.99.92;Fabbricazione di giostre, altalene e altre attrazioni di divertimento;Manufacture of roundabouts, swings and other fairground amusements;Herstellung von Karussellen, Luftschaukeln und anderen Attraktionen für Vergnügungsparks
28.99.93;Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature per il bilanciamento;Manufacture of tyre alignment and balancing equipment and other balancing equipment;Herstellung von Maschinen zur Spureinstellung und Auswuchtung der Reifen und anderen Maschinen zur Auswuchtung der Reifen
28.99.99;Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.;Manufacture of all other various special-purpose machinery n.e.c.;Herstellung von allen anderen Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.
29;Fabbricazione di autoveicoli, rimorchi e semirimorchi;Manufacture of motor vehicles, trailers and semi-trailers;Herstellung von Kraftwagen und Kraftwagenteilen
29.1;Fabbricazione di autoveicoli;Manufacture of motor vehicles;Herstellung von Kraftwagen und Kraftwagenmotoren
29.10;Fabbricazione di autoveicoli;Manufacture of motor vehicles;Herstellung von Kraftwagen und Kraftwagenmotoren
29.10.0;Fabbricazione di autoveicoli;Manufacture of motor vehicles;Herstellung von Kraftwagen und Kraftwagenmotoren
29.10.00;Fabbricazione di autoveicoli;Manufacture of motor vehicles;Herstellung von Kraftwagen und Kraftwagenmotoren
29.2;Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi;Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers;Herstellung von Karosserien, Aufbauten und Anhängern
29.20;Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi;Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers;Herstellung von Karosserien, Aufbauten und Anhängern
29.20.0;Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi;Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers;Herstellung von Karosserien, Aufbauten und Anhängern
29.20.00;Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi;Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers;Herstellung von Karosserien, Aufbauten und Anhängern
29.3;Fabbricazione di parti e accessori per autoveicoli;Manufacture of motor vehicle parts and accessories;Herstellung von Teilen und Zubehör für Kraftwagen
29.31;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli;Manufacture of electrical and electronic equipment for motor vehicles;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen
29.31.0;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli;Manufacture of electrical and electronic equipment for motor vehicles;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen
29.31.00;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli;Manufacture of electrical and electronic equipment for motor vehicles;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen
29.32;Fabbricazione di altre parti e accessori per autoveicoli;Manufacture of other parts and accessories for motor vehicles;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen
29.32.0;Fabbricazione di altre parti e accessori per autoveicoli;Manufacture of other parts and accessories for motor vehicles;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen
29.32.00;Fabbricazione di altre parti e accessori per autoveicoli;Manufacture of other parts and accessories for motor vehicles;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen
30;Fabbricazione di altri mezzi di trasporto;Manufacture of other transport equipment;Sonstiger Fahrzeugbau
30.1;Costruzione di navi e imbarcazioni;Building of ships and boats;Schiff- und Bootsbau
30.11;Costruzione di navi e di strutture galleggianti per scopi civili;Building of civilian ships and floating structures;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau
30.11.0;Costruzione di navi e di strutture galleggianti per scopi civili;Building of civilian ships and floating structures;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau
30.11.00;Costruzione di navi e di strutture galleggianti per scopi civili;Building of civilian ships and floating structures;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau
30.12;Costruzione di imbarcazioni da diporto e sportive;Building of pleasure and sporting boats;Boots- und Yachtbau
30.12.0;Costruzione di imbarcazioni da diporto e sportive;Building of pleasure and sporting boats;Boots- und Yachtbau
30.12.00;Costruzione di imbarcazioni da diporto e sportive;Building of pleasure and sporting boats;Boots- und Yachtbau
30.13;Costruzione di navi e imbarcazioni per scopi militari;Building of military ships and vessels;Bau von Kriegsschiffen
